18/01/2016 12:11:11 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : 10.8.97.255, Source Port : 138, Destination Address : 10.8.97.62, Destination Port : 138, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:12 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : ff02:, Source Port : 1900, Destination Address : fe80::b422:5e3a:b9ba, Destination Port : 51825, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:14 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : 10.8.97.63, Source Port : 52758, Destination Address : 111.221.29.13, Destination Port : 80, Protocol : 6, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:14 , Message : The Windows Filtering Platform has blocked a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5157, S_Account Name : , Object Name : , Object Type : , Source Address : 10.8.97.63, Source Port : 52758, Destination Address : 111.221.29.13, Destination Port : 80, Protocol : 6, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:15 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : ff02:, Source Port : 1900, Destination Address : fe80::b422:5e3a:b9ba, Destination Port : 51825, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : 224.0.0.252, Source Port : 0, Destination Address : 10.8.97.172, Destination Port : 0, Protocol : 2, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : 10.8.97.255, Source Port : 137, Destination Address : 10.8.97.172, Destination Port : 137, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : 224.0.0.252, Source Port : 0, Destination Address : 10.8.97.172, Destination Port : 0, Protocol : 2, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : ff02::1, Source Port : 5355, Destination Address : fe80::acf9:f6bb:ce2d, Destination Port : 55073, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : 224.0.0.252, Source Port : 5355, Destination Address : 10.8.97.172, Destination Port : 55073, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : ff02::1, Source Port : 5355, Destination Address : fe80::acf9:f6bb:ce2d, Destination Port : 57216, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : 224.0.0.252, Source Port : 5355, Destination Address : 10.8.97.172, Destination Port : 57216, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : ff02::1, Source Port : 5355, Destination Address : fe80::acf9:f6bb:ce2d, Destination Port : 62513, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : 224.0.0.252, Source Port : 5355, Destination Address : 10.8.97.172, Destination Port : 62513, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : 239.255.255.250, Source Port : 1900, Destination Address : 10.8.97.172, Destination Port : 64411, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : 224.0.0.252, Source Port : 0, Destination Address : 10.8.97.172, Destination Port : 0, Protocol : 2, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : ff02::1, Source Port : 5355, Destination Address : fe80::acf9:f6bb:ce2d, Destination Port : 55073, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : 224.0.0.252, Source Port : 5355, Destination Address : 10.8.97.172, Destination Port : 55073, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
18/01/2016 12:11:16 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:39, Device : DREAM-63, Process Id : , Thread Id : , Computer : Dream-63, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : ff02::1, Source Port : 5355, Destination Address : fe80::acf9:f6bb:ce2d, Destination Port : 57216, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
